value,id,display_value
27.95,AT,28 l
17.84,BE,17.8 l
8.88,BG,8.9 l
19.25,HR,19.2 l
31.52,CY,31.5 l
13.18,CZ,13.2 l
70.12,DK,70.1 l
15.61,EE,15.6 l
31.45,FI,31.5 l
25.28,FR,25.3 l
19.52,DE,19.5 l
55.08,GR,55.1 l
6.02,HU,6 l
32.47,IS,32.5 l
20.72,IE,20.7 l
8.16,IT,8.2 l
11.49,LV,11.5 l
6.85,LT,6.8 l
28.31,LU,28.3 l
51.20,MT,51.2 l
24.15,NL,24.2 l
50.46,NO,50.5 l
14.10,PL,14.1 l
30.77,PT,30.8 l
7.29,RO,7.3 l
9.05,SK,9 l
37.33,SI,37.3 l
14.29,ES,14.3 l
69.38,SE,69.4 l
25.30101,GB,25.3 l (England)
