id,value,display_value
10041,13.08,13.08
10042,19.46,19.46
10043,12.58,12.58
10044,14.33,14.33
10045,14.76,14.76
10046,11.76,11.76
11000,27.76,27.76
12051,11.29,11.29
12052,6.92,6.92
12053,-0.68,-0.68
12054,16.88,16.88
12060,3.58,3.58
12061,18.73,18.73
12062,5.87,5.87
12063,12.02,12.02
12064,8.53,8.53
12065,18.79,18.79
12066,3.12,3.12
12067,3.04,3.04
12068,14.75,14.75
12069,12.12,12.12
12070,7.53,7.53
12071,5.24,5.24
12072,12.42,12.42
12073,-0.39,-0.39
13003,4.90,4.90
13004,1.91,1.91
13071,5.20,5.20
13072,1.15,1.15
13073,0.83,0.83
13074,7.14,7.14
13075,2.92,2.92
13076,3.21,3.21
14511,4.60,4.60
14521,4.23,4.23
14522,4.28,4.28
14523,6.87,6.87
14524,4.88,4.88
14612,16.95,16.95
14625,1.80,1.80
14626,4.39,4.39
14627,4.57,4.57
14628,9.17,9.17
14713,21.95,21.95
14729,2.30,2.30
14730,3.57,3.57
15001,6.55,6.55
15002,10.09,10.09
15003,11.58,11.58
15081,5.12,5.12
15082,4.07,4.07
15083,8.28,8.28
15084,6.89,6.89
15085,6.77,6.77
15086,6.62,6.62
15087,9.35,9.35
15088,3.81,3.81
15089,6.83,6.83
15090,8.05,8.05
15091,7.29,7.29
16051,12.21,12.21
16052,5.15,5.15
16053,-1.19,-1.19
16054,4.93,4.93
16055,6.71,6.71
16056,11.46,11.46
16061,6.24,6.24
16062,5.88,5.88
16063,4.00,4.00
16064,2.66,2.66
16065,3.16,3.16
16066,6.25,6.25
16067,7.40,7.40
16068,7.05,7.05
16069,6.69,6.69
16070,13.04,13.04
16071,10.45,10.45
16072,7.98,7.98
16073,4.55,4.55
16074,8.02,8.02
16075,5.91,5.91
16076,2.44,2.44
16077,6.69,6.69
