name,change,rent_median,density,color,percent_change,2016pop,size
Lindau (Bodensee),1513.428120063191,9.11,248,22,15.1,80429,0.022848946500755248
Ostallgäu,1924.8058847568454,7.29,98,22,19.2,137709,0.03912153046379421
Unterallgäu,2373.472949389178,7.09,114,22,23.7,140419,0.03989141004724106
Donau-Ries,2784.1693511274743,6.95,103,32,27.8,131345,0.037313591840526406
Oberallgäu,2094.2622950819687,7.38,99,22,20.9,152672,0.04337234530036809
Regionalverband Saarbrücken,1308.4922010398627,6.53,797,21,13.1,327380,0.09300486274126563
Merzig-Wadern,1946.2169553327253,6.55,187,21,19.5,103997,0.029544342081078263
Neunkirchen,1257.637474541751,5.53,536,21,12.6,133735,0.037992563133676945
Saarlouis,1433.179723502304,6.2,429,21,14.3,197009,0.05596797300932861
Saarpfalz-Kreis,1476.2340036563073,6.28,345,21,14.8,144584,0.04107463826312893
St. Wendel,1176.4705882352935,5.65,186,21,11.8,88892,0.025253186690685395
Berlin,2776.057791537668,9.29,3947,32,27.8,3520031,1.0
Brandenburg an der Havel,1129.1139240506332,5.5,1469,21,11.3,109499,0.03110739649736039
Cottbus,691.7293233082703,5.33,603,11,6.9,99687,0.028319921046149877
Frankfurt (Oder),-68.18181818181753,5.46,392,11,-0.7,58092,0.01650326374966584
Potsdam,1687.557321919901,9.56,891,22,16.9,167745,0.047654409861731334
Barnim,358.2089552238806,6.07,119,11,3.6,177411,0.05040040840549415
Dahme-Spreewald,1873.4891216760673,7.37,72,22,18.7,164528,0.04674049745584627
Elbe-Elster,586.6228070175441,4.83,55,11,5.9,104673,0.02973638584432921
Havelland,1201.7738359201778,6.32,91,21,12.0,158236,0.04495301319789513
Märkisch-Oderland,853.4405719392316,6.07,88,11,8.5,190714,0.054179636486155945
Oberhavel,1878.5656071719638,7.29,114,22,18.8,207524,0.058955162610783825
Oberspreewald-Lausitz,312.1801432958032,5.04,91,11,3.1,112450,0.03194574138693665
Oder-Spree,303.9257070493874,6.1,80,11,3.0,182397,0.05181687320367349
Ostprignitz-Ruppin,1474.50110864745,5.17,39,21,14.7,99110,0.02815600203520935
Potsdam-Mittelmark,1211.6622491480496,7.4,81,22,12.1,210910,0.059917085957481624
Prignitz,752.6286662977308,4.86,36,11,7.5,77573,0.02203759000986071
Spree-Neiße,524.303659202622,4.82,70,11,5.2,117635,0.033418739778144
Teltow-Fläming,1242.1762156957157,5.84,77,21,12.4,163553,0.04646351125884971
Uckermark,-39.15810083210881,5.09,39,11,-0.4,121014,0.034378674505991566
Rostock,490.27895181741343,6.21,1136,11,4.9,206011,0.0585253368507266
Rostock,490.27895181741343,6.21,1136,11,4.9,206011,0.0585253368507266
Schwerin,191.48936170212733,5.99,741,11,1.9,96800,0.02749975781463288
Mecklenburgische Seenplatte,519.5473251028795,5.11,47,11,5.2,262517,0.07457803638661137
Rostock,114.638447971782,5.74,62,11,1.1,213473,0.060645204545073605
Rostock,114.638447971782,5.74,62,11,1.1,213473,0.060645204545073605
Vorpommern-Rügen,83.47245409014995,6.04,70,11,0.8,224820,0.06386875570129923
Vorpommern-Rügen,83.47245409014995,6.04,70,11,0.8,224820,0.06386875570129923
Nordwestmecklenburg,713.64046973803,5.93,73,11,7.1,156270,0.044394495389387195
Nordwestmecklenburg,713.64046973803,5.93,73,11,7.1,156270,0.044394495389387195
Vorpommern-Greifswald,292.4901185770745,6.51,60,11,2.9,238358,0.06771474455764737
Vorpommern-Greifswald,292.4901185770745,6.51,60,11,2.9,238358,0.06771474455764737
Ludwigslust-Parchim,321.2851405622474,5.14,45,11,3.2,214113,0.06082702112566622
Chemnitz,460.2510460251041,5.0,1124,11,4.6,248645,0.07063716200226645
Erzgebirgskreis,422.61251372118534,4.75,190,11,4.2,347665,0.09876759608082997
Mittelsachsen,427.97494780793335,5.0,147,11,4.3,312450,0.08876342282212855
Vogtlandkreis,687.3479318734786,4.39,164,11,6.9,232318,0.06599885057830457
Zwickau,488.0636604774526,4.94,341,11,4.9,324534,0.09219634713444284
Dresden,1694.5010183299387,7.18,1655,22,16.9,543825,0.15449437803246618
Bautzen,180.36072144288545,5.08,127,11,1.8,306273,0.08700860873100265
Görlitz,438.5458742065791,4.52,123,11,4.4,260000,0.07386298586574948
Meißen,457.25646123260344,5.26,168,11,4.6,245244,0.06967097732946102
Sächsische Schweiz-Osterzgebirge,916.7492566897927,5.51,149,11,9.2,247412,0.07028688099621849
Leipzig,2194.7527749747733,6.04,1882,21,21.9,560472,0.1592235977467244
Leipzig,229.5918367346935,5.01,156,11,2.3,258408,0.07341071712152535
Nordsachsen,357.327809425169,5.0,97,11,3.6,197605,0.056137289700005484
Dessau-Roßlau,654.9999999999993,5.33,338,11,6.5,82919,0.023556326634623388
Halle (Saale),1009.0865614538495,5.75,1755,21,10.1,236991,0.06732639570503783
Magdeburg,1157.684630738523,5.59,1172,21,11.6,235723,0.06696617160473871
Altmarkkreis Salzwedel,511.9453924914688,4.62,37,11,5.1,86164,0.024478193515909377
Anhalt-Bitterfeld,407.23981900452424,5.17,113,11,4.1,164817,0.04682259900552012
Börde,827.9220779220784,5.0,73,11,8.3,173473,0.049281668258035226
Burgenlandkreis,688.5245901639333,4.89,130,11,6.9,184081,0.0522952780813578
Harz,676.9722814498931,5.01,105,11,6.8,221366,0.06288751434291345
Jerichower Land,662.0395088093958,4.99,58,11,6.6,91693,0.02604891831918526
Mansfeld-Südharz,934.937124111537,5.0,97,11,9.3,141408,0.040172373481938084
Saalekreis,380.517503805175,5.12,130,11,3.8,186431,0.05296288583822131
Salzlandkreis,682.8193832599111,4.85,137,11,6.8,196695,0.05587876924947536
Stendal,805.223068552775,4.96,47,11,8.1,115262,0.032744597987915444
Wittenberg,729.4501905280347,4.93,66,11,7.3,128447,0.036490303636530476
Erfurt,1221.188839466235,6.94,778,22,12.2,210118,0.059692087938998266
Gera,515.1843817787415,4.85,630,11,5.2,96011,0.027275612061371052
Jena,-118.97679952409239,8.3,954,12,-1.2,109527,0.03111535097276132
Suhl,493.46879535558753,5.42,356,11,4.9,36778,0.01044820343911744
Weimar,671.2962962962956,6.92,759,12,6.7,64131,0.01821887364060146
Eisenach,1146.496815286624,5.69,407,21,11.5,42417,0.012050177967182675
Eichsfeld,623.6786469344606,5.03,107,11,6.2,101325,0.0287852578571041
Nordhausen,588.2352941176465,5.08,119,11,5.9,85355,0.024248365994504025
Wartburgkreis,400.2052334530535,5.07,96,11,4.0,125655,0.035697128803695195
Unstrut-Hainich-Kreis,265.848670756646,5.02,107,11,2.7,105273,0.02990683888863479
Kyffhäuserkreis,315.9557661927338,4.9,74,11,3.2,77110,0.02190605707733824
Schmalkalden-Meiningen,624.687656171914,5.32,102,11,6.2,124623,0.03540394956748961
Gotha,740.0000000000002,5.37,146,11,7.4,136831,0.03887210084229372
Sömmerda,705.0952135872368,5.2,87,11,7.1,70600,0.020056641546622744
Hildburghausen,669.0140845070432,5.3,68,11,6.7,64524,0.018330520384621612
Ilm-Kreis,1304.3478260869567,5.92,129,21,13.0,109620,0.031141771194628683
Weimarer Land,1045.2961672473873,5.55,102,21,10.5,82127,0.02333132861614003
Sonneberg,797.7059436913457,5.18,131,11,8.0,56818,0.01614133511892367
Saalfeld-Rudolstadt,455.43584720861884,5.34,105,11,4.6,109278,0.031044612959374506
Saale-Holzland-Kreis,802.4072216649939,5.38,105,11,8.0,86184,0.024483875284052894
Saale-Orla-Kreis,591.4786967418545,5.28,72,11,5.9,82951,0.02356541746365302
Greiz,244.44444444444514,4.61,119,11,2.4,101114,0.028725315203189973
Altenburger Land,669.2056583242658,4.9,162,11,6.7,92344,0.026233859872256807
