name,change,rent_median,density,color,percent_change,2016pop,size
Osnabrück,1343.6563436563442,5.68,168,21,13.4,358079,0.10172609275316041
Vechta,3202.9339853300735,6.75,169,31,32.0,137866,0.039166132343720836
Wesermarsch,763.5746606334849,4.76,108,11,7.6,89239,0.025351765367975454
Wittmund,1350.188273265197,5.28,87,21,13.5,57173,0.016242186503471135
Wittmund,1350.188273265197,5.28,87,21,13.5,57173,0.016242186503471135
Bremen,2109.6214511041017,7.68,1709,22,21.1,557464,0.1583690598179391
Bremen,2109.6214511041017,7.68,1709,22,21.1,557464,0.1583690598179391
Bremerhaven,1093.8367573570233,5.0,1217,21,10.9,114025,0.03239318062823879
Bremerhaven,1093.8367573570233,5.0,1217,21,10.9,114025,0.03239318062823879
Düsseldorf,1394.744441235922,9.87,2815,22,13.9,612178,0.17391267292816456
Duisburg,929.070929070929,5.47,2110,11,9.3,491231,0.13955303234545377
Essen,1172.5955204216082,6.36,2769,21,11.7,582624,0.16551672414248625
Krefeld,1257.6687116564422,6.42,1634,21,12.6,225144,0.06396080034522424
Mönchengladbach,939.900587437868,6.05,1525,11,9.4,259996,0.07386184951212077
Mülheim an der Ruhr,1144.6046308431632,6.38,1854,21,11.4,169278,0.048089917389932076
Oberhausen,1048.8158530691144,5.71,2736,21,10.5,210934,0.05992390407925385
Remscheid,519.2949023344449,5.52,1469,11,5.2,109499,0.03110739649736039
Solingen,786.6609662248824,6.31,1772,11,7.9,158726,0.045092216517411354
Wuppertal,924.3697478991581,5.85,2078,11,9.2,350046,0.09944401057831594
Kleve,809.8591549295776,6.14,251,11,8.1,310337,0.08816314401776575
Mettmann,678.6500366837851,7.28,1186,12,6.8,483279,0.13729396133159055
Rhein-Kreis Neuss,905.4976643909463,7.59,780,12,9.1,450026,0.12784716952776837
Viersen,726.5854682906345,6.38,528,11,7.3,297661,0.08456203936840329
Wesel,896.8609865470851,6.08,443,11,9.0,462664,0.13143747881765813
Bonn,1162.6506024096382,9.27,2260,22,11.6,318809,0.09056994100336048
Köln,1480.5342426825807,10.1,2618,22,14.8,1060582,0.3012990510594935
Leverkusen,1224.8003042982132,7.38,2072,22,12.2,163487,0.0464447614239761
Städteregion Aachen,1814.9466192170821,7.47,783,22,18.1,553922,0.15736281867972185
Düren,1199.8110533774204,5.93,279,21,12.0,262828,0.0746663878812431
Rhein-Erft-Kreis,1398.3205549470604,7.8,662,22,14.0,466657,0.13257184382751175
Euskirchen,855.8352402745984,5.93,153,11,8.6,191165,0.054307760357792306
Heinsberg,1080.3193987787697,5.9,402,21,10.8,252527,0.07173999319892353
Oberbergischer Kreis,862.0689655172416,5.67,297,11,8.6,273452,0.07768454311908049
Rheinisch-Bergischer Kreis,974.0259740259751,7.61,646,12,9.7,282729,0.08032003127245187
Rhein-Sieg-Kreis,1136.794240242516,7.35,517,22,11.4,596213,0.16937720150760036
Bottrop,518.7445510026146,6.03,1164,11,5.2,117143,0.033278968281813426
Gelsenkirchen,1089.266737513284,5.22,2481,21,10.9,260368,0.07396753039959023
Münster,971.8056388722239,9.14,1022,12,9.7,310039,0.08807848567242732
Borken,978.6071916249441,6.03,260,11,9.8,369666,0.10501782512710825
Coesfeld,950.6564056134004,6.05,196,11,9.5,218401,0.06204519221563674
Recklinghausen,816.2267839687183,5.53,811,11,8.2,617807,0.17551180657215804
Steinfurt,983.529411764706,5.83,246,21,9.8,443374,0.12595741344323388
Warendorf,1085.383502170767,5.75,210,21,10.9,277431,0.07881493089123363
Bielefeld,1467.693624304664,6.7,1286,21,14.7,333090,0.09462700754624036
Gütersloh,1683.4400731930466,6.38,372,21,16.8,360642,0.1024542113407524
Herford,710.6854838709678,5.31,559,11,7.1,252122,0.07162493739401726
Höxter,1138.3108935128514,4.55,119,21,11.4,144010,0.040911571517409935
Lippe,919.9999999999999,5.46,281,11,9.2,350750,0.0996440088169678
Minden-Lübbecke,1260.0401606425694,5.61,271,21,12.6,313050,0.08893387586643413
Paderborn,1822.3234624145784,6.49,244,21,18.2,304332,0.08645719313267411
Bochum,1189.1891891891894,6.21,2504,21,11.9,364742,0.10361897381017383
Dortmund,2084.9056603773593,6.41,2088,21,20.8,586181,0.16652722660681113
Hagen,656.330749354005,5.16,1178,11,6.6,189044,0.053705208846172095
Hamm,1375.0000000000002,5.69,792,21,13.8,179397,0.05096460798214561
Herne,928.7148594377499,5.44,3030,11,9.3,155851,0.04427546234678047
Ennepe-Ruhr-Kreis,800.5552984729295,5.83,795,11,8.0,325954,0.0925997526726327
Hochsauerlandkreis,970.0272479564019,5.03,134,11,9.7,263762,0.07493172645354544
Märkischer Kreis,607.1249372804822,5.29,392,11,6.1,416171,0.11822935650282625
Olpe,1107.5069508804452,5.99,191,21,11.1,136365,0.03873971564454972
Siegen-Wittgenstein,668.3915480810682,6.18,247,11,6.7,280800,0.07977202473500944
Soest,990.8168197196698,5.68,228,21,9.9,302995,0.08607736693227985
Unna,1134.9999999999998,5.57,729,21,11.3,396035,0.11250895233593113
Darmstadt,997.8249048395872,10.11,1272,22,10.0,155353,0.04413398632000684
Frankfurt am Main,1321.0069057696592,12.71,2950,23,13.2,732688,0.20814816687693943
Offenbach am Main,2180.4752729608217,9.48,2756,22,21.8,123734,0.03515139497351018
Wiesbaden,1235.5658198614321,9.73,1354,22,12.4,276218,0.07847033165332919
Bergstraße,1224.4109694862875,7.26,370,22,12.2,266928,0.07583115035066453
Darmstadt-Dieburg,914.8710702931826,7.72,444,12,9.1,292773,0.0831734152341272
Groß-Gerau,1423.4293193717272,8.73,587,22,14.2,266042,0.07557944802190662
Hochtaunuskreis,996.4018820924423,9.93,484,22,10.0,233427,0.06631390462186271
Main-Kinzig-Kreis,1272.245361605452,7.44,294,22,12.7,411956,0.11703192386657958
Main-Taunus-Kreis,1192.3187159644585,9.76,1047,22,11.9,232848,0.06614941743410782
Odenwaldkreis,869.9676075890787,5.87,155,11,8.7,97000,0.027556575496068075
Offenbach,1065.8105939004815,8.62,974,22,10.7,347357,0.09868009685141978
Rheingau-Taunus-Kreis,1390.7758312477658,7.96,226,22,13.9,184114,0.05230465299879461
Wetteraukreis,1058.7382160986228,7.62,274,22,10.6,301931,0.08577509686704464
Gießen,2018.9648360331898,7.61,307,22,20.2,262505,0.07457462732572526
Lahn-Dill-Kreis,1152.073732718894,6.05,237,21,11.5,253167,0.07192180977951615
Limburg-Weilburg,1278.796426892336,6.0,232,21,12.8,171922,0.04884104713850532
Marburg-Biedenkopf,2160.6049693914306,8.44,194,22,21.6,245241,0.06967012506423949
Vogelsbergkreis,809.7615085967815,4.87,73,11,8.1,107256,0.030470186200064715
Kassel,1823.5542422963274,7.0,1854,22,18.2,197984,0.05624495920632517
Fulda,1846.3740458015257,6.21,159,21,18.5,220132,0.06253694924845832
Hersfeld-Rotenburg,1253.4818941504177,5.05,110,21,12.5,121166,0.034421855943882314
Kassel,1619.6136701337296,5.87,182,21,16.2,235813,0.06699173956138454
Schwalm-Eder-Kreis,670.2997275204342,4.89,117,11,6.7,180310,0.05122398069789726
Waldeck-Frankenberg,1223.3445566778898,5.0,85,21,12.2,157592,0.04477006026367381
Werra-Meißner-Kreis,919.3357058125747,4.6,98,11,9.2,100715,0.028611963928726763
Koblenz,2150.537634408602,7.34,1070,22,21.5,112586,0.03198437741031258
Ahrweiler,1548.2118605703945,6.38,162,21,15.5,127770,0.03629797578487235
Altenkirchen (Westerwald),704.0000000000002,5.02,201,11,7.0,129171,0.036695983643325866
Bad Kreuznach,1079.9819249887034,6.13,181,21,10.8,156821,0.04455102810174115
Birkenfeld,352.9411764705877,4.62,103,11,3.5,80615,0.022901786944489976
Cochem-Zell,1167.5126903553303,4.95,90,21,11.7,62391,0.017724559812115293
Mayen-Koblenz,1370.2042850024911,5.71,259,21,13.7,211925,0.060205435690765224
Neuwied,1077.523159434421,5.68,288,21,10.8,180655,0.05132199119837297
Rhein-Hunsrück-Kreis,1434.217955957086,5.06,103,21,14.3,102529,0.029127300299343954
Rhein-Lahn-Kreis,695.0000000000003,5.35,157,11,7.0,123543,0.03509713408773957
Westerwaldkreis,1570.6272310045904,5.67,202,21,15.7,200302,0.056903476134159046
Trier,872.3135271807832,8.6,981,12,8.7,114914,0.03264573522221821
Bernkastel-Wittlich,1045.0,5.52,95,21,10.4,111828,0.0317690383976732
Eifelkreis Bitburg-Prüm,412.23969400764923,6.12,59,11,4.1,97180,0.027607711409359748
Vulkaneifel,1151.481274455002,4.99,66,21,11.5,60794,0.017270870625855285
Trier-Saarburg,1326.9550748752085,6.81,134,21,13.3,147999,0.042044800173634836
Frankenthal (Pfalz),1234.9272349272344,6.75,1105,21,12.3,48363,0.013739367636250931
Kaiserslautern,1370.580532518551,6.51,705,21,13.7,98520,0.027988389874975532
Landau in der Pfalz,2425.4317111459964,7.92,546,22,24.3,45362,0.012886818326315877
Ludwigshafen am Rhein,1606.456571867794,7.55,2124,22,16.1,164718,0.0467944742532097
Mainz,1256.1307901907353,10.33,2146,22,12.6,209779,0.059595781968965617
Neustadt an der Weinstraße,1058.7295245705147,6.92,452,22,10.6,52999,0.01505640149191868
Pirmasens,692.4019607843131,4.36,653,11,6.9,40125,0.011399047337935377
Speyer,1306.638566912539,8.05,1180,22,13.1,50284,0.014285101466435949
Worms,1816.659690246965,7.06,755,22,18.2,82102,0.02332422640596063
Zweibrücken,589.4736842105268,5.03,484,11,5.9,34260,0.009732868829848373
Alzey-Worms,1389.388489208633,6.33,216,21,13.9,127274,0.03615706793491307
Bad Dürkheim,1211.8644067796606,6.62,222,21,12.1,132203,0.037557339693883376
Donnersbergkreis,1016.096579476861,5.47,116,21,10.2,75230,0.021371970871847435
Germersheim,1501.4516798009129,6.93,274,22,15.0,127303,0.03616530649872118
Kaiserslautern,534.3159834177799,5.72,164,11,5.3,104966,0.02981962374763177
Kusel,504.5140732873091,4.95,123,11,5.0,70997,0.0201694246442716
Südliche Weinstraße,1225.3829321663006,6.41,172,21,12.3,110526,0.031399155291530104
Rhein-Pfalz-Kreis,1129.875351829513,6.92,496,22,11.3,151546,0.043052461753887966
Mainz-Bingen,1674.1405082212243,7.81,344,22,16.7,208749,0.059303170909574376
Südwestpfalz,279.269602577873,4.79,101,11,2.8,96474,0.02740714499389352
Stuttgart,1845.5497382198942,11.31,3008,23,18.5,623738,0.17719673491511864
Böblingen,1674.8315982853665,9.53,617,22,16.7,381281,0.10831751197645703
Esslingen,1422.3467164643635,9.18,817,22,14.2,524127,0.14889840458791415
Göppingen,1832.747166862056,7.57,393,22,18.3,252749,0.0718030608253166
Ludwigsburg,1856.82326621924,9.28,777,22,18.6,534074,0.1517242319740934
Rems-Murr-Kreis,1809.266148123098,8.73,488,22,18.1,419456,0.11916258692039929
Heilbronn,2598.5663082437277,8.79,1227,32,26.0,122567,0.03481986380233583
Heilbronn,2237.4072627879737,7.83,304,22,22.4,334388,0.09499575429875476
Hohenlohekreis,1988.0290722530985,7.01,141,22,19.9,110181,0.0313011447910544
Schwäbisch Hall,2021.660649819495,6.66,129,21,20.2,191614,0.054435316052614306
Main-Tauber-Kreis,1902.3397761953195,5.85,101,21,19.0,132181,0.03755108974892551
Heidenheim,1377.165704131496,6.4,208,21,13.8,130527,0.03708120752345647
Ostalbkreis,1989.0893831305086,7.14,206,22,19.9,312650,0.08882024050356374
Baden-Baden,1402.8657114295227,8.55,386,22,14.0,54160,0.015386228132649967
Karlsruhe,1058.7533552042937,9.27,1774,22,10.6,307755,0.08742962775043743
Karlsruhe,1884.00155702608,7.63,401,22,18.8,435841,0.12381737547197738
Rastatt,1633.3066453162523,7.26,307,22,16.3,227474,0.06462272633394422
Heidelberg,777.9204107830535,10.49,1435,12,7.8,156267,0.04439364312416567
