id,value,display_value
AT,2.84,2.8
BE,2.84,2.8
BG,1.96,2
HR,1.68,1.7
CY,5.04,5
CZ,0.8,0.8
DK,2.28,2.3
EE,2.48,2.5
FI,2.72,2.7
FR,1.56,1.6
DE,0.16,0.2
GR,1.36,1.4
HU,1.48,1.5
IS,0.44,0.4
IE,0.72,0.7
IT,3.04,3
LV,0,0
LT,0,0
LU,0,0
MT,1.32,1.3
NL,0.76,0.8
NO,1.68,1.7
PL,1.32,1.3
PT,0,0
RO,1.96,2
SK,0,0
SI,0.84,0.8
ES,3.16,3.2
SE,0.8,0.8
GB,2.4937656,2.5 (England)
