value,id,display_value
8.79,AT,8.8 %
35.69,BE,35.7 %
4.87,BG,4.9 %
6.30,HR,6.3 %
11.18,CY,11.2 %
5.33,CZ,5.3 %
39.55,DK,39.5 %
13.30,EE,13.3 %
11.11,FI,11.1 %
51.58,FR,51.6 %
6.53,DE,6.5 %
2.86,GR,2.9 %
1.71,HU,1.7 %
23.41,IS,23.4 %
19.17,IE,19.2 %
5.88,IT,5.9 %
8.50,LV,8.5 %
5.23,LT,5.2 %
33.33,LU,33.3 %
18.34,MT,18.3 %
16.53,NL,16.5 %
23.72,NO,23.7 %
3.42,PL,3.4 %
4.26,PT,4.3 %
2.93,RO,2.9 %
4.21,SK,4.2 %
3.49,SI,3.5 %
9.38,ES,9.4 %
28.65,SE,28.6 %
21.43717,GB,21.4 % (England)
