id,name,rent_median,percent_change,value,2012,2013,2014,2015,2016
05154,Kleve,6.14,8.1,11,5.68,5.7825,5.9825,6.005,6.14
05158,Mettmann,7.28,6.8,12,6.815,6.975,7.0325,7.1075,7.2775
05162,Rhein-Kreis Neuss,7.59,9.1,12,6.9575,7.1325,7.2825,7.4525,7.5875
05166,Viersen,6.38,7.3,11,5.9525,6.06,6.1825,6.2075,6.385
05170,Wesel,6.08,9.0,11,5.575,5.6975,5.75,5.915,6.075
05314,Bonn,9.27,11.6,22,8.3,8.49,8.7225,8.93,9.265
05315,Köln,10.1,14.8,22,8.7975,9.17,9.6025,9.9375,10.1
05316,Leverkusen,7.38,12.2,22,6.5725,6.7925,6.97,7.1375,7.3775
05334,Städteregion Aachen,7.47,18.1,22,6.3225,6.44,6.745,6.97,7.47
05358,Düren,5.93,12.0,21,5.2925,5.4175,5.49,5.7475,5.9275
05362,Rhein-Erft-Kreis,7.8,14.0,22,6.8475,6.955,7.2575,7.495,7.805
05366,Euskirchen,5.93,8.6,11,5.4625,5.5075,5.725,5.91,5.93
05370,Heinsberg,5.9,10.8,21,5.3225,5.45,5.5625,5.655,5.8975
05374,Oberbergischer Kreis,5.67,8.6,11,5.22,5.24,5.3425,5.495,5.67
05378,Rheinisch-Bergischer Kreis,7.61,9.7,12,6.93,7.0225,7.1275,7.225,7.605
05382,Rhein-Sieg-Kreis,7.35,11.4,22,6.5975,6.775,6.9325,7.075,7.3475
05512,Bottrop,6.03,5.2,11,5.735,5.5875,5.86,5.9225,6.0325
05513,Gelsenkirchen,5.22,10.9,21,4.705,4.805,4.9625,5.0,5.2175
05515,Münster,9.14,9.7,12,8.335,8.71,8.9,9.0725,9.145
05554,Borken,6.03,9.8,11,5.4925,5.625,5.725,5.9675,6.03
05558,Coesfeld,6.05,9.5,11,5.5225,5.57,5.71,5.83,6.0475
05562,Recklinghausen,5.53,8.2,11,5.115,5.19,5.2725,5.3475,5.5325
05566,Steinfurt,5.83,9.8,21,5.3125,5.385,5.5275,5.6975,5.835
05570,Warendorf,5.75,10.9,21,5.1825,5.26,5.4125,5.7225,5.745
05711,Bielefeld,6.7,14.7,21,5.8425,6.0875,6.2425,6.435,6.7
