id,value,display_value
AT,4.4,4.4
BE,3.64,3.6
BG,3,3
HR,2.84,2.8
CY,5.04,5
CZ,0.92,0.9
DK,4.56,4.6
EE,4.16,4.2
FI,5.44,5.4
FR,4.64,4.6
DE,2.12,2.1
GR,3.36,3.4
HU,2.84,2.8
IS,4.76,4.8
IE,7.8,7.8
IT,4.64,4.6
LV,0,0
LT,0,0
LU,6.52,6.5
MT,3.32,3.3
NL,5.72,5.7
NO,6.68,6.7
PL,3.96,4
PT,2.88,2.9
RO,0,0
SK,0,0
SI,2.68,2.7
ES,3.24,3.2
SE,3.16,3.2
GB,6.289776,6.3 (England)
